brand,配對數,有瀏覽,有加購,有移除,有購買,瀏覽且加購,瀏覽加購且購買,瀏覽→加購%,加購→購買%,加購後放棄%,放棄配對數,無瀏覽直接加購%
severina,52598.0,23149.0,23541.0,9883.0,9108.0,4235.0,737.0,18.29452676141518,17.722271781147786,82.27772821885222,19369.0,82.01011002081475
estelare,6815.0,3742.0,2876.0,1317.0,849.0,761.0,145.0,20.336718332442544,17.872044506258693,82.12795549374131,2362.0,73.53963838664812
godefroy,3410.0,2650.0,848.0,410.0,236.0,333.0,66.0,12.566037735849056,17.92452830188679,82.0754716981132,696.0,60.73113207547169
farmstay,24116.0,10878.0,10691.0,5011.0,3317.0,1471.0,236.0,13.522706379849236,17.968384622579737,82.03161537742027,8770.0,86.24076325881582
cristalinas,3813.0,2425.0,1228.0,615.0,330.0,291.0,63.0,12.0,17.996742671009773,82.00325732899023,1007.0,76.30293159609121
benovy,14114.0,6906.0,6022.0,2993.0,2161.0,1309.0,254.0,18.954532290761655,18.00066423115244,81.99933576884756,4938.0,78.26303553636666
nefertiti,2076.0,1579.0,487.0,270.0,153.0,199.0,38.0,12.60291323622546,18.069815195071868,81.93018480492813,399.0,59.13757700205339
nirvel,1250.0,954.0,386.0,173.0,102.0,169.0,41.0,17.71488469601677,18.134715025906736,81.86528497409327,316.0,56.21761658031088
glysolid,2164.0,1429.0,747.0,375.0,221.0,269.0,53.0,18.82435269419174,18.340026773761714,81.6599732262383,610.0,63.98929049531459
farmona,5545.0,4508.0,1143.0,571.0,347.0,510.0,99.0,11.313220940550133,18.460192475940506,81.5398075240595,932.0,55.38057742782152
kamill,1046.0,594.0,416.0,199.0,142.0,122.0,23.0,20.53872053872054,18.509615384615387,81.49038461538461,339.0,70.67307692307693
jas,20990.0,18367.0,2640.0,1172.0,905.0,1054.0,203.0,5.738552839331409,18.522727272727273,81.47727272727273,2151.0,60.07575757575757
levissime,14256.0,7462.0,6105.0,2622.0,2199.0,1580.0,345.0,21.173948003216296,18.591318591318593,81.4086814086814,4970.0,74.11957411957411
lamixx,5148.0,3741.0,1336.0,524.0,455.0,363.0,70.0,9.703287890938253,18.7874251497006,81.2125748502994,1085.0,72.82934131736528
kerasys,2830.0,1894.0,949.0,488.0,275.0,322.0,55.0,17.00105596620908,18.86195995785037,81.13804004214963,770.0,66.0695468914647
